count	name
11	co-eluting mixture
11	colorless liquid
11	Compound
11	dark brown oil
11	dipicrate
11	ethyl acetate-light petroleum
11	Example 8
11	hexanes acetone
11	MeOH[7] NH4OH[3]
11	monoammonium
11	Si PCC
11	tripeptide ester
11	β-keto ester
10	100
10	[ 1.1 ]
10	1-A
10	1-oxides
10	2′,3′-dihydro-carboxylic acid tert-butyl ester
10	37
10	3'-nitrobenzylideneacetoacetic acid methyl ester
10	45
10	46
10	64
10	68
10	6E
10	75
10	78
10	( 9 )
10	90
10	Compound 2
10	compound 22
10	compound 26
10	compound 6
10	diazo
10	dioxalate
10	dipeptide
10	eluant
10	Example 248
10	formula VII
10	intermediate 10
10	magnesium salt
10	methanesulfonate salt
10	methyl carbamate ester
10	nucleoside
10	polyaspartic acid
10	product ( 11 )
10	( R )-
10	VIII
9	0.1
9	110
9	115
9	122
9	17.7
9	192
9	1-E
9	250
9	29.5
9	2b
9	( 37 )
9	38
9	3c
9	3-t-butoxy-4-cis-octenyl magnesium iodide
9	43.5
9	44
9	( 4.66 )
9	52.5
9	56.6
9	59
9	5b
9	71.1
9	73
9	92
9	95
9	AcOH-
9	beige solid
9	compound #1
9	compound 15
9	Compound 3
9	compound 7
9	dichloromethane hexanes
9	diphenylmethyl ester
9	enol ether
9	Example 15
9	Fluorided-alumina
9	heterocyclic compound
9	impure material
9	intermediate 14
9	lithium enolate
9	methoxymethyl ester
9	NH4
9	petroleum spirit
9	pinacol ester
9	polyurethane
9	raw product
9	( VII )
9	yellow needles
8	( 10 )
8	10.1
8	11b
8	12.2
8	150
8	1-(5,6-Oxidohexyl)-3,7-dimethylxanthine
8	15.7
8	1.6
8	17.0
8	24.5
8	27.3
8	300
8	3,6-dioxo-5α sterol
8	49
8	4-chloro
8	5
8	56
8	5a
8	63.5
8	67.8
8	7a
8	7c
8	( 8 )
8	alcohol DMF
8	Amino acid
8	ammonium fluosilicate
8	( B )
8	benzyl
8	bromo
8	CH2Cl2 petroleum ether
8	compound 10
8	compound 23
8	Compound 4
8	compound 8
8	Compound I
8	crude acid
8	dark amber oil
8	dibenzyl ester
8	diethyl ether petroleum ether
8	( e )
8	ether-ethyl acetate
8	ethyl acetate chloroform petrol
8	Example 48
8	formula 3
8	Formula XVIII
8	H+
8	hydrogen bromide salt
8	intermediate 18
8	intermediate 19
8	intermediate 28
8	intermediate 7
8	( IX )
8	methylene chloride petroleum ether
8	NH4OAc
8	oily product
8	phase
8	purple powder
8	(R)-5-biphenyl-4-ylmethyl-3-[1-dimethylaminometh-(E/Z)-ylidene]-2-oxo-pyrrolidine-1-carboxylic acid tert-butyl ester
8	(R)-5-Biphenyl-4-ylmethyl-3-[1-dimethylaminometh-(E/Z)-ylidene]-2-oxo-pyrrolidine-1-carboxylic acid tert-butyl ester
8	solid F45
8	sulfate ester
8	thioamide
8	tyrosine hydroxyl
8	yellow crystalline solid
8	δ(CDCl3)
7	10.7
7	11.2
7	11.6
7	11-A
7	1,1-dioxide
7	140
7	154
7	15.9
7	1-methyl-3-(o-chloro)-phenyl-7-chloroindan
7	( 21.2 )
7	21.9
7	22.5
7	27.7
7	2-thiooxazolo[4,5-b]pyridine
7	3
7	395
7	3'-nitrobenzylideneacetoacetic acid isopropyl ester
7	3-nitrooxy-2,2-bis(nitrooxymethyl)propyl ester
7	4
7	4c
7	51
7	53
7	6b
7	6-carboxylic acid
7	6-fluoro octatrienoate
7	8
7	91
7	91.6
7	94
7	9,9-bis-2-Methylindene
7	( A1 )
7	acetone-ether
7	AcOEt petroleum ether
7	acylsulfamate
7	aimed product
7	alkene
7	amino ester
7	atorvastatin benzathine
7	bis(trifluoroacetate)
7	brown crystalline solid
7	colorless prisms
7	compound ( 1 )
7	Compound 1
7	compound ( 105B )
7	compound 51
7	Compound 9
7	crude dark brown foam
7	crystalline solid
7	dimethyl ester
7	enamine
7	ethers
7	Example 172
7	Example 3
7	Example 4
7	Fmoc-amino
7	Formula 1
7	Formula VI
7	formula XIV
7	Formula XXVIII
7	halogen
7	hemi-ethanolate
7	intermediate 12
7	intermediate 6
7	intermediate 8
7	intermediate ( b )
7	lactol
7	light orange solid
7	off-white crystals
7	pale yellow crystals
7	petroleum ether diethyl ether
7	polyisocyanates
7	purple crystals
7	red solid
7	( S )
7	tide compound
7	titled product
7	trihydrate
7	violet-brown crystals
7	XV
7	yellow powder
7	yellow solids
6	0.020
6	105
6	106
6	10b
6	10-N-methylcarbamoyl
6	( 11 )
6	11.3
6	11.7
6	( 12 )
6	12.1
6	12.4
6	129
6	1,2-polybutadiene
6	130
6	13.5
6	15-tetrahydropyranyl ether
6	160
6	16.0
6	17.1
6	18.4
6	1-(8,9-Oxidononyl)-3,7-dimethylxanthine
6	19.1
6	19.4
6	25.3
6	27.5
6	28.3
6	28b
6	2.9
6	2-chloroethyl ester
6	2d
6	2S
6	347
6	35.5
6	3-(5,6-Oxidohexyl)-1-methylthymine
6	3-(5,6-Oxidohexyl)-1-methyluracil
6	35g
6	36.29
6	46.9
6	4g
6	4S
6	4-tert-butyl ester
6	52.6
6	5-substituted 7-azaindoles
6	61
6	80.59
6	85
6	93
6	95.12
6	98.5
6	9c
6	( A2 )
6	AcOEt-Petroleum ether
6	acyl bromide
6	aimed compound
6	aldehydes
6	alkanol
6	amino
6	aralkylenediamine
6	aryl
6	atorvastatin dibenzylamine
