name	smiles	source
D,L-α-methylphenylglycine ethyl ester	CCOC(=O)C(C)Nc1ccccc1	OPSIN
Nitro vinyl	[CH]=C[N+](=O)[O-]	OPSIN
R-(+)-1,1,1-trifluoro-2,3-epoxypropane	FC(F)(F)[C@H]1CO1	OPSIN
R-(-) ibuprofen	CC(C)Cc1ccc([C@@H](C)C(=O)O)cc1	OPSIN
R-glycidyl butyrate	CCCC(=O)OC[C@H]1CO1	OPSIN
Sodium t-butylate	CC(C)(C)[O-].[Na+]	OPSIN
Tetrakistriphenylphosphine palladium (0)	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
[4-Methyl-9-(2,2-dimethyl-propyl)-8-oxo-3,6,7,8,9,10-hexahydro-2,3,9-triaza-(S)-cyclohepta[e]inden-7-yl]-acetic acid methyl ester	COC(=O)C[C@@H]1Cc2cc(C)c3[nH]ncc3c2CN(CC(C)(C)C)C1=O	OPSIN
[9-(2,2-dimethyl-propyl)-8-oxo-3,6,7,8,9,10-hexahydro-2,3,9-triaza-(S)-cyclohepta[e]inden-7-yl]-acetic acid methyl ester	COC(=O)C[C@@H]1Cc2ccc3[nH]ncc3c2CN(CC(C)(C)C)C1=O	OPSIN
acetoxy	CC([O])=O	OPSIN
benzoyl	O=[C]c1ccccc1	OPSIN
benzylamino	[NH]Cc1ccccc1	OPSIN
benzylidene	[CH]c1ccccc1	OPSIN
benzyloxy	[O]Cc1ccccc1	OPSIN
bis(dibenzyleneacetone) palladium	O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.[Pd]	OPSIN
boc	CC(C)(C)O[C]=O	OPSIN
chloro-propyl	[CH2]CCCl	OPSIN
chromic trioxide	[Cr+3].[Cr+3].[O-2].[O-2].[O-2]	OPSIN
chromous sulfate	O=S(=O)([O-])[O-].[Cr+2]	OPSIN
cupric iodide	[I][Cu][I]	OPSIN
cupric nitrate trihydrate	O.O.O.O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Cu+2]	OPSIN
cuprous chloride dihydrate	O.O.[Cl][Cu]	OPSIN
cuprous sulfate	O=S(=O)([O-])[O-].[Cu+].[Cu+]	OPSIN
di-n-amyl malonate	CCCCCOC(=O)CC(=O)OCCCCC	OPSIN
diphenylphosphoric acid azide	[N-]=[N+]=NP(=O)(Oc1ccccc1)Oc1ccccc1	OPSIN
ferric perchlorate	[Fe+3].[O-][Cl+3]([O-])([O-])[O-].[O-][Cl+3]([O-])([O-])[O-].[O-][Cl+3]([O-])([O-])[O-]	OPSIN
hydroxylamine O-sulfonic acid	NOS(=O)(=O)O	OPSIN
i-amylnitrite	CC(C)CCON=O	OPSIN
lithium cupric chloride	[Cl][Cu][Cl].[Li]	OPSIN
pivaloyl	CC(C)(C)[C]=O	OPSIN
sodium t-amylate	CCC(C)(C)[O-].[Na+]	OPSIN
t-butyloxycarbonyl	CC(C)(C)O[C]=O	OPSIN
tetrakis triphenyl phosphine palladium (0)	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
tetrakistriphenyl phosphine palladium (0)	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
tetrakistriphenyl-phosphine palladium	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
tetrakistriphenylphosphine Palladium (0)	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
tristriphenylphosphine rhodium (I) chloride	[Cl][Rh].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
1,8-diaza-bicyclo[5,4,0]-7-undecene	C1CCC2=NCCCN2CC1	OPSIN
2,4-dinitrophenyl	O=[N+]([O-])c1[c]ccc([N+](=O)[O-])c1	OPSIN
2-aza-1,1-diphenyl-3-(pyridyl)prop-2-ene	C(=NC(c1ccccc1)c1ccccc1)c1ccccn1	OPSIN
3R-Methylamino-1-(methanesulfonyl)pyrrolidine	CN[C@@H]1CCN(S(C)(=O)=O)C1	OPSIN
4-methoxy-1-oxidopyridin-1-ium	COc1cc[n+]([O-])cc1	OPSIN
7β-phenoxyacetamido-3-pyrrolidino-cephem-4-carboxylic acid p-nitrobenzyl ester	O=C(COc1ccccc1)N[C@@H]1C(=O)N2C(C(=O)OCc3ccc([N+](=O)[O-])cc3)=C(N3CCCC3)CS[C@H]12	OPSIN
Mercuric bromide	[Br][Hg][Br]	OPSIN
Potassium tert.-butylate	CC(C)(C)[O-].[K+]	OPSIN
R-diphenylprolinol	OC[C@]1(c2ccccc2)CCCN1c1ccccc1	OPSIN
Sodium tert.-butylate	CC(C)(C)[O-].[Na+]	OPSIN
Tetrakistriphenylphosphine palladium(0)	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
bis-dichlorotriphenylphosphine palladium	Clc1cccc(P(c2ccccc2)c2ccccc2)c1Cl.Clc1cccc(P(c2ccccc2)c2ccccc2)c1Cl.[Pd]	OPSIN
bis-triphenylphosphine palladium di-chloride	[Cl][Pd][Cl].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
ceric sulfate	O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].[Ce+4]	OPSIN
cerous chloride	[Ce+3].[Cl-].[Cl-].[Cl-]	OPSIN
cobaltous chloride hexahydrate	O.O.O.O.O.O.[Cl][Co][Cl]	OPSIN
cupric carbonate	O=C([O-])[O-].[Cu+2]	OPSIN
cuprous acetate	CC(=O)[O-].[Cu+]	OPSIN
cyclopentylamino	[NH]C1CCCC1	OPSIN
d,l-2,3-dihydro-5-methoxy-1H-indole-2-carboxylic acid ethyl ester	CCOC(=O)C1Cc2cc(OC)ccc2N1	OPSIN
di(dibenzylideneacetone) palladium	O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.[Pd]	OPSIN
di-tertbutylazodicarboxylate	CC(C)(C)OC(=O)N=NC(=O)OC(C)(C)C	OPSIN
diethylphosphoric cyanide	CCOP(=O)(C#N)OCC	OPSIN
ferrous ammonium sulphate	O=S(=O)([O-])[O-].[Fe+2].[NH4+]	OPSIN
imino	[NH]	OPSIN
mercurous chloride	[Cl][Hg]	OPSIN
methylene methanol	C=CO	OPSIN
phthalimido	O=C1[N]C(=O)c2ccccc21	OPSIN
phthaloyl	O=[C]c1ccccc1[C]=O	OPSIN
phthaloylglycine amidoxime	NC(CNC(=O)c1ccccc1C(=O)O)=NO	OPSIN
sodium nitride	[N-3].[Na+].[Na+].[Na+]	OPSIN
sodium-n-butoxide	CCCC[O-].[Na+]	OPSIN
sodium-tert butylate	CC(C)(C)[O-].[Na+]	OPSIN
tert-butyl 7-(α-tert-butyloxycarboxylphenylacetamido)-3-chloro-3-cephem-4-carboxylate	CC(C)(C)OC(=O)C1=C(Cl)CS[C@@H]2C(NC(=O)C(OC(C)(C)C)(C(=O)O)c3ccccc3)C(=O)N12	OPSIN
tetrakis-triphenyl phosphine palladium	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
thienyl	[c]1cccs1	OPSIN
thio-ketone	O=C=S	OPSIN
tris-(dibenzylidenaceton) dipalladium(0)	O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.[Pd].[Pd]	OPSIN
(2E,4E)- and (2Z,4E)-4-Methyl-2,4-heptadien-1-ylamine	CC/C=C(\C)C=CCN	OPSIN
(2E,4E)- and (2Z,4E)-4-methyl-2,4-heptadien-1-ylamine	CC/C=C(\C)C=CCN	OPSIN
1,1,3,3-tetramethylisoindolin-2-yloxyl	CC1(C)c2ccccc2C(C)(C)N1[O]	OPSIN
1-(3-dimethyl amino propyl)-3-ethyl carbodiimide hydrochloride	CCN=C=NCCCN(C)C.Cl	OPSIN
1-(3-dimethyl aminopropyl)-3-ethylcarbodiimide hydrochloride	CCN=C=NCCCN(C)C.Cl	OPSIN
1-[12-(m-iodophenyl)-dodecyl]-2-methyl-rac-glycero-3-phosphocholine	COC(COCCCCCCCCCCCCc1cccc(I)c1)COP(=O)([O-])OCC[N+](C)(C)C	OPSIN
10-propargyl-5,8-dideazafolate	C#CCN(Cc1ccc2nc(N)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)O)cc1	OPSIN
2,2-dimethylpropyl	[CH2]C(C)(C)C	OPSIN
2-[4-(6-fluoro-1,2-benzisoxazol-3-yl)-1-piperidinyl]ethyl	[CH2]CN1CCC(c2noc3cc(F)ccc23)CC1	OPSIN
2-di-n-butylamino-4-methoxy-5-hexamethyleneiminosulfonylbenzoic acid	CCCCN(CCCC)c1cc(OC)c(S(=O)(=O)N2CCCCCC2)cc1C(=O)O	OPSIN
2-hexamethyleneimino-3-fluoro-5-morpholinosulfonylbenzoic acid	O=C(O)c1cc(S(=O)(=O)N2CCOCC2)cc(F)c1N1CCCCCC1	OPSIN
2-hexamethyleneimino-3-methyl-5-(N-methyl-N-phenylaminosulfonyl)benzoic acid	Cc1cc(S(=O)(=O)N(C)c2ccccc2)cc(C(=O)O)c1N1CCCCCC1	OPSIN
2-hexamethyleneimino-4-chloro-5-hexamethyleneiminosulfonylbenzoic acid	O=C(O)c1cc(S(=O)(=O)N2CCCCCC2)c(Cl)cc1N1CCCCCC1	OPSIN
2-oxo-1-pyrrolidinyl	O=C1CCC[N]1	OPSIN
3-(gamma-methacryl-oxypropyl)-tetrahydro-1,3-oxazine	C=C(C)C(=O)OCCCN1CCCOC1	OPSIN
3-chlorophenyl	Clc1c[c]ccc1	OPSIN
3-methyl-2-buten-1-yl	[CH2]C=C(C)C	OPSIN
4, 4'-dimethoxytrityl	COc1ccc([C](c2ccccc2)c2ccc(OC)cc2)cc1	OPSIN
4-bromo-5-hexamethyleneiminosulfonylbenzoic acid	O=C(O)c1ccc(Br)c(S(=O)(=O)N2CCCCCC2)c1	OPSIN
5-hexamethyleneiminosulfonyl-6-bromobenzoic acid	O=C(O)c1cccc(S(=O)(=O)N2CCCCCC2)c1Br	OPSIN
5-hexamethyleneiminosulfonyl-6-fluorobenzoic acid	O=C(O)c1cccc(S(=O)(=O)N2CCCCCC2)c1F	OPSIN
CBz	O=[C]OCc1ccccc1	OPSIN
Chromic oxide	[Cr+3].[Cr+3].[O-2].[O-2].[O-2]	OPSIN
L-N-[(4-methoxyphenyl)sulfonyl]glutamic acid	COc1ccc(S(=O)(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1	OPSIN
Potassium tert-butylate	CC(C)(C)[O-].[K+]	OPSIN
R-(+)-1-phenylethylamine	C[C@@H](N)c1ccccc1	OPSIN
R-(−)-1-aminoindane	N[C@@H]1CCc2ccccc21	OPSIN
Sulfo	O=[S](=O)O	OPSIN
aluminum iso-propoxide	CC(C)[O-].CC(C)[O-].CC(C)[O-].[Al+3]	OPSIN
bis triphenylphosphine palladium dichloride	[Cl][Pd][Cl].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
bis-(dibenzalacetone) chloroform palladium	ClC(Cl)Cl.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.[Pd]	OPSIN
bis-(triphenyl-phosphine) palladium(II)-dichloride	[Cl][Pd][Cl].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
bis-dibenzylideneacetone palladium(0)	O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.[Pd]	OPSIN
boron tristrifluoroacetate	O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F.[B+3]	OPSIN
carbobenzyloxy (Cbz)	O=[C]OC(C(=O)OCc1ccccc1)c1ccccc1	OPSIN
chloropropyl	[CH2]CCCl	OPSIN
copper(I)-2-propylacetylide	[C-]#CC(C)C.[Cu+]	OPSIN
cupric nitrate hemipentahydrate	O.O.O.O.O.O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Cu+2].[Cu+2]	OPSIN
cupric sulfate hexahydrate	O.O.O.O.O.O.O=S(=O)([O-])[O-].[Cu+2]	OPSIN
cupric sulphate	O=S(=O)([O-])[O-].[Cu+2]	OPSIN
cuprous monochloride	[Cl][Cu]	OPSIN
diaminophenyl	Nc1[c]cccc1N	OPSIN
diethylazo-dicarboxylate	CCOC(=O)N=NC(=O)OCC	OPSIN
diisopropylazo-dicarboxylate	CC(C)OC(=O)N=NC(=O)OC(C)C	OPSIN
dimethylamino	C[N]C	OPSIN
dipalladium trisdibenzylideneacetone	O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.[Pd].[Pd]	OPSIN
dl-2-amino-1-butanol acetate hydrochloride	CCC(N)COC(C)=O.Cl	OPSIN
ethanol-pyridine	CCO.c1ccncc1	OPSIN
ethanol-toluene water	CCO.Cc1ccccc1.O	OPSIN
ethyl 8-aza-6-(ethoxycarbonyl)bicyclo[3.2.1]octane-8-carboxylate	CCOC(=O)C1CC2CCCC1N2C(=O)OCC	OPSIN
ethylenedioxy	[O]CC[O]	OPSIN
ferric chloride hydrate	O.[Cl][Fe]([Cl])[Cl]	OPSIN
ferric hydroxide	[Fe+3].[OH-].[OH-].[OH-]	OPSIN
ferrous bromide	[Br][Fe][Br]	OPSIN
hydroxy-methyl	[CH2]O	OPSIN
iodoethyl	[CH2]CI	OPSIN
isovaleryl	CC(C)C[C]=O	OPSIN
magnesium(IV) oxide	[Mg+4].[O-2].[O-2]	OPSIN
mercuric bromide	[Br][Hg][Br]	OPSIN
mesyl	C[S](=O)=O	OPSIN
methanol-1,4 dioxane	C1COCCO1.CO	OPSIN
methoxyparaphenylenediamine	CONc1ccc(N)cc1	OPSIN
methyl perfluoromethylsulfone	CS(=O)(=O)C(F)(F)F	OPSIN
n-propyl	[CH2]CC	OPSIN
nitroxide	N[O]	OPSIN
p-methoxybenzyl	[CH2]c1ccc(OC)cc1	OPSIN
palladium tetra-triphenyl phosphine	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
palladium tetrakis triphenyl phosphine	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
palladium(0) tetrakistriphenylphosphine	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
piperazinyl	C1CNCC[N]1	OPSIN
potassium t-amylate	CCC(C)(C)[O-].[K+]	OPSIN
propylene and 5-vinyl-2-norbornene	C=CC.C=CC1CC2C=CC1C2	OPSIN
pyridoxal 3-phosphate	Cc1ncc(CO)c(C=O)c1OP(=O)(O)O	OPSIN
salicyl aldehyde	O=Cc1ccccc1O	OPSIN
sodium tert.-amylate	CCC(C)(C)[O-].[Na+]	OPSIN
sodium tert.butylate	CC(C)(C)[O-].[Na+]	OPSIN
stannous acetate	CC(=O)[O-].CC(=O)[O-].[Sn+2]	OPSIN
stannous caprylate	CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Sn+2]	OPSIN
stannous(II) chloride dihydrate	O.O.[Cl][Sn][Cl]	OPSIN
styrenyl	[CH]=Cc1ccccc1	OPSIN
sulfhydryl	[SH]	OPSIN
sulphinyl	O=S	OPSIN
tert-butoxy carbonyl	CC(C)(C)O[C]=O	OPSIN
tert-butyl oxy carbonyl	CC(C)(C)O[C]=O	OPSIN
tert.-butylate	CC(C)(C)[O-]	OPSIN
tertbutoxycarbonyl	CC(C)(C)O[C]=O	OPSIN
trans-1,3,4-trimethyl-4-phenylpiperidine	C[C@@H]1CN(C)CC[C@@]1(C)c1ccccc1	OPSIN
triisopropylsilyl	CC(C)[Si](C(C)C)C(C)C	OPSIN
tris(dibenzylidene-acetone) dipalladium(0)	O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.[Pd].[Pd]	OPSIN
tris(triphenylphosphine) ruthenium dichloride	[Cl][Ru][Cl].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
water	O	OPSIN
(E)- and (Z)-tert-butyl 4-(3-cyanoallyl)piperazine-1-carboxylate	CC(C)(C)OC(=O)N1CCN(CC=CC#N)CC1	OPSIN
1,8-diazabicyclo-[5,4,0]-7-undecene	C1CCC2=NCCCN2CC1	OPSIN
1-(4-hydroxy-3-methoxyphenyl)-propane-1,2-diol monoformate	COc1cc(C(O)C(C)O)ccc1O.O=CO	OPSIN
1-silaethoxy	C[SiH2][O]	OPSIN
2-bromo ethyl methyl ether	COCCBr	OPSIN
2-hexamethyleneimino-3-chloro-5-piperidinosulfonylbenzoic acid	O=C(O)c1cc(S(=O)(=O)N2CCCCC2)cc(Cl)c1N1CCCCCC1	OPSIN
3,5-dinitrobenzoyl	O=[C]c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1	OPSIN
3-n-butylcephem	CCCCC1=CN2C(=O)C[C@H]2SC1	OPSIN
4-hydroxyphenyl	Oc1cc[c]cc1	OPSIN
4-nitrophenylchlorocarbonate	O=C(Cl)Oc1ccc([N+](=O)[O-])cc1	OPSIN
4R-(1R-Hydroxy-prop-2-ynyl)-2,2,5R-trimethyl-oxazolidine-3-carboxylic acid tert-butyl ester	C#C[C@@H](O)[C@@H]1[C@@H](C)OC(C)(C)N1C(=O)OC(C)(C)C	OPSIN
5-(4-chlorophenyl)-2,5-ethano-8-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-2,3,4,5-tetrahydro-1H-2-benzoazepine	CC1(C)OB(c2ccc3c(c2)CN2CCC3(c3ccc(Cl)cc3)CC2)OC1(C)C	OPSIN
6-n-amyl-2-hydroxypyridine	CCCCCc1cccc(O)n1	OPSIN
Azo	[N]=[N]	OPSIN
Bis(dibenzyleneacetone) Palladium	O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.[Pd]	OPSIN
Bis-(triphenylphosphine) dichloro-palladium-(II)	[Cl][Pd][Cl].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
CbZ	O=[C]OCc1ccccc1	OPSIN
Cbz-	O=[C]OCc1ccccc1	OPSIN
Cupric chloride dihydrate	O.O.[Cl][Cu][Cl]	OPSIN
Cupric sulfate	O=S(=O)([O-])[O-].[Cu+2]	OPSIN
D-(-)-p-hydroxyphenylglycyl chloride hydrochloride	Cl.N[C@@H](C(=O)Cl)c1ccc(O)cc1	OPSIN
D-2-amino-n-butyric acid tert-butyl ester hydrochloride	CC[C@@H](N)C(=O)OC(C)(C)C.Cl	OPSIN
Ethyl	[CH2]C	OPSIN
L-2,3-dihydropicolinate	O=C([O-])[C@@H]1CC=CC=N1	OPSIN
L-alanyl-L-proline, phenylmethyl ester, p-toluenesulfonic acid salt	C[C@H](N)C(=O)N1CCC[C@H]1C(=O)OCc1ccccc1.Cc1ccc(S(=O)(=O)O)cc1	OPSIN
N,N-dimethylmethyleneiminium chloride	C=[N+](C)C.[Cl-]	OPSIN
N,O-dimethylhydroxy amine	CNOC	OPSIN
N-Acetylglucosamine 3-sulfate	CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1OS(=O)(=O)O	OPSIN
N-methylpyrrolidine methanol	CN1CCCC1.CO	OPSIN
Phenyl-di(2-chloroethyl)phosphoramidic chloride	O=P(Cl)(Oc1ccccc1)N(CCCl)CCCl	OPSIN
R-3,7-dimethyl-1-octyl magnesium bromide	CC(C)CCC[C@@H](C)C[CH2][Mg][Br]	OPSIN
R-3-hydroxymethyl piperidine	OC[C@@H]1CCCNC1	OPSIN
R-aminoquinuclidine	N[C@H]1CC2CCN1CC2	OPSIN
R-aminoquinuclidine dihydrochloride	Cl.Cl.N[C@H]1CC2CCN1CC2	OPSIN
R-lactate	C[C@@H](O)C(=O)[O-]	OPSIN
R-propylene oxide	C[C@@H]1CO1	OPSIN
Tetrakis triphenylphosphane palladium	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
Tetrakis-triphenylphosphin palladium	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
Tetrakis-triphenylphosphine palladium	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
Tetrakis-triphenylphosphine palladium (0)	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
[9-(2,2-dimethyl-propyl)-8-oxo-3,6,7,8,9,10-hexahydro-2,3,9-triaza-(R)-cyclohepta[e]inden-7-yl]-acetic acid	CC(C)(C)CN1Cc2c(ccc3[nH]ncc23)C[C@H](CC(=O)O)C1=O	OPSIN
[9-(2,2-dimethyl-propyl)-8-oxo-3,6,7,8,9,10-hexahydro-2,3,9-triaza-(S)-cyclohepta[e]inden-7-yl]acetic acid	CC(C)(C)CN1Cc2c(ccc3[nH]ncc23)C[C@@H](CC(=O)O)C1=O	OPSIN
allenylidene	[C]=C=C	OPSIN
anilino	[NH]c1ccccc1	OPSIN
benzoyloxy	[O]C(=O)c1ccccc1	OPSIN
bis(di-tert-butyl(4-dimethylaminophenyl)phosphine) dichloropalladium(II)	CN(C)c1ccc(P(C(C)(C)C)C(C)(C)C)cc1.CN(C)c1ccc(P(C(C)(C)C)C(C)(C)C)cc1.[Cl][Pd][Cl]	OPSIN
bis(tricyclohexylphosphine) palladium	C1CCC(P(C2CCCCC2)C2CCCCC2)CC1.C1CCC(P(C2CCCCC2)C2CCCCC2)CC1.[Pd]	OPSIN
bis-tricyclohexylphosphine benzylidene ruthenium (IV) dichloride	C1CCC(P(C2CCCCC2)C2CCCCC2)CC1.C1CCC(P(C2CCCCC2)C2CCCCC2)CC1.[Cl][Ru]([Cl])=[CH]c1ccccc1	OPSIN
bis-trimethylsilyl ether	C[Si](C)(C)O[Si](C)(C)C	OPSIN
bis-triphenylphosphine palladium (II) dichloride	[Cl][Pd][Cl].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
bis-triphenylphosphine palladium(II) chloride	[Cl][Pd][Cl].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
bistriphenyl phosphine palladium chloride	[Cl][Pd][Cl].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
bistriphenylphosphine dichloropalladium(II)	[Cl][Pd][Cl].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
bistriphenylphosphine palladium (II) chloride	[Cl][Pd][Cl].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
bromoethoxy	[O]CCBr	OPSIN
butyl	[CH2]CCC	OPSIN
butylsulfonylamino	CCCCS([NH])(=O)=O	OPSIN
carbapenem	O=C1C[C@H]2CC=CN12	OPSIN
carbene	[CH2]	OPSIN
carbobenzyloxy	O=[C]OCc1ccccc1	OPSIN
chloroethyl	[CH2]CCl	OPSIN
chloroformyl	O=[C]Cl	OPSIN
chlorohydroxyimino	[N]OCl	OPSIN
chloromethylene	[CH]Cl	OPSIN
cobaltic acetate	CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].[Co+3]	OPSIN
cobaltous acetate	CC(=O)[O-].CC(=O)[O-].[Co+2]	OPSIN
cobaltous acetate tetrahydrate	CC(=O)[O-].CC(=O)[O-].O.O.O.O.[Co+2]	OPSIN
cupric cyanide	N#[C][Cu][C]#N	OPSIN
cupric nitrate hydrate	O.O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Cu+2]	OPSIN
cuprous trifluoromethanesulfonate	O=S(=O)([O-])C(F)(F)F.[Cu+]	OPSIN
diazabicyclo undecene	C1=C(C2=NNCCCCCCCC2)CCCCCCCCC1	OPSIN
dichloromethylene	Cl[C]Cl	OPSIN
dichloromethylene hexane	CCCCCC=C(Cl)Cl	OPSIN
diethyl ethoxymagnesium-malonate	CCC(C)(CC)[O][Mg+2].O=C([O-])CC(=O)[O-]	OPSIN
diethyl-ethoxy-magnesium malonate	CCC(C)(CC)[O][Mg+2].O=C([O-])CC(=O)[O-]	OPSIN
diethylazodicarboxylic acid	CCOC(=O)N=NC(=O)OCC	OPSIN
dihydroxycalcium ferrous malate	O=C([O-])CC(O)C(=O)[O-].[Fe+2].[OH][Ca][OH]	OPSIN
ethoxy	CC[O]	OPSIN
ethynyl	[C]#C	OPSIN
ferric nitrate nonahydrate	O.O.O.O.O.O.O.O.O.O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Fe+3]	OPSIN
ferric trichloride	[Cl][Fe]([Cl])[Cl]	OPSIN
