dataset_id,position,signature,count,example
46ff9a32d9e04016b9380b1b1ef949c3,outcomes[].analyses{}.instrument_last_calibrated,,4312,
46ff9a32d9e04016b9380b1b1ef949c3,provenance.record_created.time,"NN/N/NNNN, N:NN:NN AP",4312,"10/5/2020, 1:49:04 PM"
46ff9a32d9e04016b9380b1b1ef949c3,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,4312,Thu Oct 15 17:20:09 2020
46ff9a32d9e04016b9380b1b1ef949c3,provenance.record_modified[].time,NNNN-NN-NN NN:NN:NN.NNNNNN,8624,2020-12-17 21:16:16.160242
47eaacc46c3a4487bbdf99adb1a15e41,outcomes[].analyses{}.instrument_last_calibrated,,94030,
47eaacc46c3a4487bbdf99adb1a15e41,provenance.record_created.time,NNNN-NN-NNWNN:NN:NN,47015,2025-06-30T05:22:18
47eaacc46c3a4487bbdf99adb1a15e41,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,47015,Fri Jul 25 08:57:56 2025
488402f6ec0d441ca2f7d6fabea7c220,provenance.record_created.time,"NN/NN/NNNN, NN:NN:NN",40000,"02/17/2021, 15:27:14"
488402f6ec0d441ca2f7d6fabea7c220,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,80000,Wed Feb 17 23:04:03 2021
488402f6ec0d441ca2f7d6fabea7c220,provenance.record_modified[].time,NNNN-NN-NN NN:NN:NN.NNNNNN,40000,2021-11-05 15:37:37.034278
4d431564f3ef4e9c91d8da5836f4eae6,outcomes[].analyses{}.instrument_last_calibrated,,90,
4d431564f3ef4e9c91d8da5836f4eae6,provenance.record_created.time,"N/N/NNNN, N:NN:NN AP",90,"6/2/2021, 8:10:58 AM"
4d431564f3ef4e9c91d8da5836f4eae6,provenance.record_modified[].time,DAY MON  N NN:NN:NN NNNN,90,Wed Jul  7 21:27:17 2021
52bd3b0ec72c443aab113bcea09bf3f4,outcomes[].analyses{}.instrument_last_calibrated,,96,
52bd3b0ec72c443aab113bcea09bf3f4,provenance.record_created.time,"N/NN/NNNN, N:NN:NN AP",96,"5/17/2023, 6:01:47 PM"
52bd3b0ec72c443aab113bcea09bf3f4,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,96,Sat Jun 10 23:28:36 2023
